T(degC) W(-) L(gCm-2)
16.0656	0.2350	3.2729
16.0398	0.2345	3.2413
16.0414	0.2344	3.3637
16.0631	0.2345	3.4831
16.0753	0.2344	3.7364
16.0857	0.2346	4.0189
16.1200	0.2342	3.7862
16.2201	0.2336	3.3266
16.3273	0.2326	3.0883
16.3304	0.2322	2.8246
16.3004	0.2319	3.3597
16.3187	0.2319	3.6272
16.3601	0.2320	3.7026
16.3807	0.2319	3.7717
16.4013	0.2319	3.6444
16.3634	0.2322	2.9600
16.2969	0.2326	2.9683
16.2485	0.2322	3.5123
16.1867	0.2323	3.3055
16.1371	0.2332	3.2008
16.1416	0.2340	2.7005
16.1643	0.2336	3.1829
16.2030	0.2332	3.6878
16.2279	0.2332	3.6936
16.2566	0.2331	3.6833
16.2776	0.2328	3.0452
16.2567	0.2324	2.7578
16.2172	0.2326	2.7380
16.1799	0.2329	2.5315
16.1905	0.2329	2.5209
16.2331	0.2324	2.4874
16.1583	0.2322	2.5427
16.0312	0.2323	2.0769
15.9220	0.2325	2.0218
15.8565	0.2327	1.8780
15.8447	0.2325	2.0241
15.8583	0.2323	1.8435
15.7799	0.2326	1.5891
15.7248	0.2331	1.8522
15.7295	0.2339	1.9429
15.6770	0.2347	2.1279
15.5559	0.2352	2.1192
15.4689	0.2354	1.7178
15.3983	0.2354	1.7042
15.3277	0.2355	1.6992
15.1932	0.2360	1.2944
15.0869	0.2362	1.2798
15.0970	0.2367	0.01759
15.0961	0.2370	0.01
15.0766	0.2367	0.4424
15.0693	0.2367	1.2327
15.0503	0.2366	1.2177
14.9779	0.2368	1.1150
14.9358	0.2366	1.0336
14.9302	0.2360	0.6515
14.9521	0.2356	0.01621
14.9109	0.2353	0.2133
14.8589	0.2353	0.01
14.8745	0.2350	0.01
14.8150	0.2349	0.01
14.7802	0.2350	0.01867
14.7203	0.2361	0.2497
14.6610	0.2367	0.01878
14.5480	0.2370	0.0830
14.3862	0.2371	0.01 
14.2408	0.2371	0.01 
14.0172	0.2369	0.01 
13.8974	0.2371	0.01 
13.8312	0.2373	0.01 
13.7353	0.2372	0.01 
13.6083	0.2371	0.01 
13.4371	0.2377	0.01 
13.3042	0.2383	0.01 
13.2430	0.2386	0.01 
13.1818	0.2390	0.01 
13.1579	0.2394	0.01 
13.1015	0.2397	0.01 
13.1899	0.2392	0.01 
